NUMBER,Player,GP,GS,MIN,MIN AVG,FG,FG-FGA,FG%,3FG-FGA,3FGA,3FG%,FT,FTA,FT%,OFFREB,DEFREB,TOTREB,RPG,FOULS,ASSISTS,TO,BLK,STL,PTS,PPG
23,"Radusinovic, Dimitrije",22,18,671,30.5,124,272,0.456,54,156,0.346,20,34,0.588,22,106,128,5.8,42,40,45,10,18,322,14.6
44,"Otasevic, Dorde",21,20,621,29.6,110,214,0.514,33,92,0.359,48,59,0.814,29,123,152,7.2,48,28,32,34,28,301,14.3
0,"Knowles, Darien",21,5,453,21.6,55,128,0.43,18,52,0.346,28,39,0.718,12,35,47,2.2,41,34,24,4,14,156,7.4
33,"Spyroglou, Anastasis",19,1,179,17.9,23,57,0.404,4,14,0.286,13,16,0.813,1,26,27,2.7,16,15,14,1,9,63,6.3
11,"Okubo, Yuuki",23,23,726,31.6,52,124,0.419,3,17,0.176,22,31,0.71,19,47,66,2.9,34,96,24,3,31,129,5.6
5,"Snipes-Rea, Asaan",21,18,494,23.5,34,70,0.486,3,18,0.167,15,25,0.6,9,57,66,3.1,24,33,33,6,13,86,4.1
45,"Otley, Cole",17,6,184,10.8,17,45,0.378,11,34,0.324,0,2,0,3,15,18,1.1,22,6,5,2,2,45,2.6
21,"Gannon, Andrew",15,0,139,9.3,16,40,0.4,4,17,0.235,2,4,0.5,6,20,26,1.7,10,5,8,0,4,38,2.5
43,"Lieber, Henry",11,1,83,7.5,4,15,0.267,1,4,0.25,0,0,0,1,8,9,0.8,3,8,6,0,4,9,0.8
42,"Bousquette, Will",6,0,14,2.3,0,3,0,0,1,0,3,4,0.75,1,3,4,0.7,0,2,1,0,0,3,0.5
20,"Dibaei, Adel",8,0,27,3.4,1,8,0.125,1,8,0.125,0,0,0,0,0,0,0,2,1,3,0,0,3,0.4
3,"Macfarlane, Lachie",5,0,9,1.8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
